S.No,News Covered on Dated,State,Heading,Link
88,11.08.13,Odisha,"Normal life hit in Odisha over death of Dalit girl- Business Standard
 ","http://www.business-standard.com/article/pti-stories/normal-life-hit-in-odisha-over-death-of-dalit-girl-113081000209_1.html
 "
89,13.08.13,Odisha,"Minor dalit girl murder issue: Controversy sparks over the age of rape accused in Odisha - Odisha Today
 ","http://www.odishatoday.com/viewnews.php?news_id=5121#sthash.MuRM2cOA.dpuf
 "
90,13.08.13,Odisha,"2 accused of girl burn case are juveniles- The New Indian Express
 ","http://newindianexpress.com/states/odisha/2-accused-of-girl-burn-case-are-juveniles/2013/08/13/article1732179.ece
 "
91,17.08.13,Haryana,"15 Year Old Dalit Girl Gang-Raped in Haryana- Out Look
 ","http://news.outlookindia.com/items.aspx?artid=807240
 "
92,17.08.13,Uttar Pradesh,"Dalit girl beaten up and gang-raped in Noida- The Times Of India
 ","http://timesofindia.indiatimes.com/city/noida/Dalit-girl-beaten-up-and-gang-raped-in-Noida/articleshow/21872677.cms
 "
93,17.08.13,Odisha,"'Dalit Girl in Odisha Wasn't Raped Before Being Burnt'- Out Look
 ","http://news.outlookindia.com/items.aspx?artid=807227
 "
94,21.08.13,Karnataka ,"Dejected woman consumes poison, dies- The Hindu
 ","http://www.thehindu.com/todays-paper/tp-national/dejected-woman-consumes-poison-dies/article5043646.ece
 "
95,26.08.13,Haryana,"Dalit girl ‘raped’, killed in Jind, mob goes on rampage- The Times Of India
 ","http://timesofindia.indiatimes.com/india/Dalit-girl-raped-killed-in-Jind-mob-goes-on-rampage/articleshow/22056412.cms?
 "
96,27.08.13,Uttar Pradesh,"Man gets life imprisonment for repeatedly raping minor Dalit girl in 1994- IBN Live
 ","http://ibnlive.in.com/news/man-gets-life-imprisonment-for-repeatedly-raping-minor-dalit-girl-in-1994/417551-3-242.html
 "
97,28.08.13,Tamil Nadu,"Petty quarrel snowballs, 4 dalit women attacked- The Times Of India
 ","http://timesofindia.indiatimes.com/city/madurai/Petty-quarrel-snowballs-4-dalit-women-attacked/articleshow/22109392.cms
 "
98,30.08.13,New Delhi,"New Delhi: Daughter gang-raped, wife killed; man moves SC seeking protection- Bellvision
 ","http://www.bellevision.com/belle/index.php?action=topnews&type=6953
 "
99,30.08.13,Haryana ,"Dalit girl rape & murder: Protest continues, committee formed- Business Standard
 ","http://www.business-standard.com/article/pti-stories/dalit-girl-rape-murder-protest-continues-committee-formed-113082901112_1.html
 "
100,31.08.13,Uttar Pradesh,"Dalit girl gang-raped brutally in Pratapgarh- The Times Of India
 ","http://timesofindia.indiatimes.com/city/allahabad/Dalit-girl-gang-raped-brutally-in-Pratapgarh/articleshow/22152195.cms
 "
101,31.08.13,Bihar,"Two women gangraped in Bihar- PTI
 ","http://www.ptinews.com/news/3937813_Two-women-gangraped-in-Bihar
 "
 ,,,,
 ,,,,
 ,,,,
 ,,,,
